team,opponent,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,penalty_minutes,home,win,loss,goal_diff,xg_diff
switzerland,indonesia,3,4,2.7903,2.2699000000000003,24,25,14,1,0,1,-1,0.5203999999999995
iceland,germany,4,2,3.5351,2.3199,29,24,4,1,1,0,2,1.2151999999999998
netherlands,kazakhstan,4,1,3.7105,1.6947,28,19,10,1,1,0,3,2.0158
peru,new_zealand,6,1,2.8979,1.1537,21,13,4,1,1,0,5,1.7442
uae,france,4,2,2.5077,2.0765000000000002,21,19,14,1,1,0,2,0.4311999999999996
philippines,guatemala,1,2,2.8295,2.183,29,25,6,1,0,1,-1,0.6465000000000001
kazakhstan,morocco,3,1,2.9099000000000004,1.6551,31,15,12,1,1,0,2,1.2548000000000004
iceland,oman,2,3,3.58,4.5594,32,40,15,1,0,1,-1,-0.9794
uk,brazil,1,2,2.5934,2.9992,22,24,12,1,0,1,-1,-0.40580000000000016
netherlands,rwanda,4,0,4.4027,1.9603,28,23,10,1,1,0,4,2.4424
india,singapore,0,3,3.5939,2.4287,33,24,12,1,0,1,-3,1.1652
china,ethiopia,6,5,5.426,2.8539,49,29,16,1,1,0,1,2.5721000000000003
mexico,philippines,2,1,4.785299999999999,1.6051,36,19,14,1,1,0,1,3.1801999999999992
pakistan,peru,2,0,2.9154,2.1021,24,20,10,1,1,0,2,0.8132999999999999
south_korea,mongolia,5,1,3.8981,1.449,36,19,6,1,1,0,4,2.4490999999999996
serbia,saudi_arabia,3,2,3.5433999999999997,2.1169000000000002,29,22,12,1,1,0,1,1.4264999999999994
switzerland,guatemala,6,1,1.9166,2.4302,26,25,14,1,1,0,5,-0.5136000000000001
panama,canada,11,3,3.898,2.7763,31,27,10,1,1,0,8,1.1217000000000001
new_zealand,usa,4,3,5.7272,3.0822,43,23,18,1,1,0,1,2.645
south_korea,rwanda,4,5,4.6931,3.3729999999999998,38,31,14,1,0,1,-1,1.3201000000000005
vietnam,uk,1,0,2.3862,3.0049,20,23,12,1,1,0,1,-0.6187
france,indonesia,6,3,4.4845999999999995,2.7976,35,25,12,1,1,0,3,1.6869999999999994
brazil,thailand,4,1,3.4282,2.2822,27,22,14,1,1,0,3,1.146
uae,germany,3,2,2.7509,2.2137000000000002,21,23,8,1,1,0,1,0.5371999999999999
france,peru,2,3,2.2032,2.2652,22,21,16,1,0,1,-1,-0.06200000000000028
iceland,brazil,0,2,1.7643,1.9794,20,16,14,1,0,1,-2,-0.21510000000000007
india,new_zealand,2,0,2.1896,2.6035,20,25,10,1,1,0,2,-0.41389999999999993
singapore,netherlands,5,1,4.1082,2.3211,33,22,8,1,1,0,4,1.7871000000000001
china,oman,7,3,5.2954,3.0055,35,28,20,1,1,0,4,2.2899
saudi_arabia,canada,6,1,4.0597,1.4864,35,16,6,1,1,0,5,2.5733000000000006
panama,canada,5,1,2.5171,2.2664,23,22,4,1,1,0,4,0.25070000000000014
switzerland,morocco,4,5,3.4514,3.0471,32,29,16,1,0,1,-1,0.4043000000000001
mongolia,serbia,2,5,2.3367,4.8365,30,38,18,1,0,1,-3,-2.4998
indonesia,uk,3,2,3.0058,3.0455,31,20,10,1,1,0,1,-0.03970000000000029
philippines,guatemala,2,1,3.9114,2.6304,38,27,8,1,1,0,1,1.2810000000000001
kazakhstan,ethiopia,3,4,2.3397,3.4691,24,24,14,1,0,1,-1,-1.1294
mexico,pakistan,5,4,4.2736,3.2857,40,27,20,1,1,0,1,0.9879000000000002
usa,uae,6,0,3.4735,1.8276000000000001,36,21,4,1,1,0,6,1.6459
panama,south_korea,2,3,1.627,3.9055999999999997,15,36,12,1,0,1,-1,-2.2786
morocco,thailand,4,3,2.146,3.6079,25,33,6,1,1,0,1,-1.4619
vietnam,germany,5,4,3.8718,4.5083,29,38,14,1,1,0,1,-0.6365000000000003
rwanda,switzerland,3,4,3.4766,2.5827,25,23,18,1,0,1,-1,0.8938999999999999
oman,china,2,6,3.1386,3.9592,31,31,22,1,0,1,-4,-0.8206000000000002
thailand,saudi_arabia,4,3,4.4671,2.7911,32,26,14,1,1,0,1,1.6760000000000002
china,germany,5,2,4.3488,2.1197,30,24,4,1,1,0,3,2.2291
morocco,kazakhstan,3,1,1.8859000000000001,2.7004,19,27,12,1,1,0,2,-0.8145
pakistan,south_korea,7,5,2.7595,3.7171,25,35,10,1,1,0,2,-0.9575999999999998
rwanda,mongolia,2,3,3.5153,1.6195,30,20,10,1,0,1,-1,1.8958
vietnam,serbia,2,3,2.3965,3.7512,20,31,22,1,0,1,-1,-1.3546999999999998
philippines,ethiopia,1,3,4.2117,1.8972,37,18,14,1,0,1,-2,2.3145000000000007
new_zealand,brazil,4,3,2.8779000000000003,4.2258,33,31,16,1,1,0,1,-1.3478999999999992
oman,switzerland,1,2,1.4752,2.7172,15,26,12,1,0,1,-1,-1.242
india,france,4,0,3.374,1.8119,33,19,12,1,1,0,4,1.5621
ethiopia,serbia,1,4,2.4629000000000003,3.5258000000000003,28,36,8,1,0,1,-3,-1.0629
usa,peru,4,1,2.6696,2.7429,27,26,12,1,1,0,3,-0.07330000000000014
panama,mexico,1,5,2.0311,4.3542000000000005,22,29,26,1,0,1,-4,-2.3231000000000006
indonesia,singapore,3,2,4.1575999999999995,2.9683,38,27,8,1,1,0,1,1.1892999999999994
uae,iceland,2,3,2.6949,2.438,27,26,12,1,0,1,-1,0.2568999999999999
netherlands,guatemala,8,1,4.015499999999999,2.7983000000000002,38,24,12,1,1,0,7,1.2171999999999992
canada,uk,3,2,2.6644,2.819,25,24,10,1,1,0,1,-0.15459999999999985
india,thailand,3,1,2.5825,2.7753,27,25,8,1,1,0,2,-0.19280000000000008
germany,morocco,3,4,3.6186000000000003,2.9495999999999998,30,27,6,1,0,1,-1,0.6690000000000005
saudi_arabia,philippines,2,3,2.4697,2.5324,25,26,8,1,0,1,-1,-0.06269999999999998
ethiopia,brazil,3,2,2.4153,2.2243,26,19,8,1,1,0,1,0.19099999999999984
saudi_arabia,iceland,1,2,2.751,2.0599,22,22,6,1,0,1,-1,0.6911
france,uae,2,3,5.1282000000000005,1.9399,39,19,6,1,0,1,-1,3.188300000000001
indonesia,guatemala,3,4,1.9552,2.9086000000000003,21,28,10,1,0,1,-1,-0.9534000000000002
oman,rwanda,2,1,2.8761,2.5289,22,24,14,1,1,0,1,0.34719999999999995
kazakhstan,uk,3,2,1.9913,3.6706,18,27,8,1,1,0,1,-1.6792999999999998
usa,netherlands,2,3,2.9846,2.6827,30,22,14,1,0,1,-1,0.30189999999999984
pakistan,serbia,5,1,3.8878,2.2580999999999998,36,19,18,1,1,0,4,1.6297000000000001
vietnam,panama,2,1,3.5886,3.1555,30,25,10,1,1,0,1,0.43310000000000004
peru,south_korea,1,2,2.5262000000000002,2.5174,21,29,6,1,0,1,-1,0.008800000000000363
mongolia,mexico,4,0,3.6221,2.4494,26,25,2,1,1,0,4,1.1727000000000003
china,iceland,2,4,2.8613,2.991,26,28,12,1,0,1,-2,-0.12970000000000015
india,peru,2,0,2.17,1.3413,21,15,2,1,1,0,2,0.8287
canada,new_zealand,3,2,4.7623999999999995,3.0146,36,32,8,1,1,0,1,1.7477999999999994
mexico,thailand,3,4,3.1353999999999997,2.4192,30,22,20,1,0,1,-1,0.7161999999999997
netherlands,pakistan,2,1,2.9462,1.9079,23,20,2,1,1,0,1,1.0383000000000002
rwanda,iceland,4,3,2.4326,2.1768,24,18,14,1,1,0,1,0.2557999999999998
ethiopia,panama,1,4,2.9519,3.4752,29,34,16,1,0,1,-3,-0.5232999999999999
serbia,switzerland,1,5,2.213,3.5692,17,41,12,1,0,1,-4,-1.3561999999999999
saudi_arabia,vietnam,4,3,3.9318000000000004,1.2534,28,15,4,1,1,0,1,2.6784000000000003
mongolia,oman,7,5,3.6458,3.1969000000000003,32,30,4,1,1,0,2,0.44889999999999963
canada,uae,4,5,3.3057,3.9328,36,31,28,1,0,1,-1,-0.6271
france,peru,2,8,3.3144,3.3445,27,32,11,1,0,1,-6,-0.030100000000000016
pakistan,mexico,1,0,3.4947,3.4216,30,28,20,1,1,0,1,0.07309999999999972
uk,india,1,4,2.9208,2.1167000000000002,25,20,10,1,0,1,-3,0.8040999999999996
kazakhstan,singapore,3,2,3.7367000000000004,2.4182,34,22,8,1,1,0,1,1.3185000000000002
morocco,germany,4,2,3.5156,2.6856,30,25,10,1,1,0,2,0.8300000000000001
china,philippines,3,1,2.9532,2.3764,25,26,6,1,1,0,2,0.5768
new_zealand,indonesia,2,3,3.7248,2.5194,34,24,10,1,0,1,-1,1.2054
brazil,south_korea,5,4,4.7269000000000005,2.829,41,31,10,1,1,0,1,1.8979000000000004
uae,new_zealand,1,5,0.888,1.7174,8,19,14,1,0,1,-4,-0.8294
oman,saudi_arabia,4,3,3.3019,3.4792,29,25,26,1,1,0,1,-0.17730000000000024
rwanda,uk,3,2,2.8126,3.1551,23,28,20,1,1,0,1,-0.3424999999999998
thailand,indonesia,3,2,3.9622,2.1705,29,21,20,1,1,0,1,1.7917
guatemala,philippines,4,2,3.6717999999999997,2.4827000000000004,31,25,19,1,1,0,2,1.1890999999999994
pakistan,south_korea,3,2,3.451,2.3808,26,23,8,1,1,0,1,1.0702000000000003
mongolia,germany,3,2,4.759,3.2118,43,26,8,1,1,0,1,1.5472000000000001
serbia,singapore,8,2,4.7858,1.69,37,20,6,1,1,0,6,3.0958
mexico,morocco,4,2,2.2455,2.1913,27,23,14,1,1,0,2,0.054199999999999804
india,switzerland,5,0,2.716,1.5854,31,18,8,1,1,0,5,1.1306000000000003
ethiopia,guatemala,4,6,3.4528,3.6351999999999998,37,33,10,1,0,1,-2,-0.1823999999999999
netherlands,kazakhstan,4,3,3.7712000000000003,2.7457,32,25,14,1,1,0,1,1.0255000000000005
china,panama,2,1,3.3895,2.8231,29,22,6,1,1,0,1,0.5663999999999998
iceland,france,4,0,3.4578,3.1283,28,26,20,1,1,0,4,0.32950000000000035
philippines,usa,0,6,2.7680000000000002,2.3726,28,23,8,1,0,1,-6,0.3954000000000004
panama,mongolia,4,2,3.0484,2.3748,25,25,10,1,1,0,2,0.6736
brazil,vietnam,7,0,3.6633,1.2838,26,17,8,1,1,0,7,2.3795
canada,peru,5,3,3.2756,3.2581,27,31,10,1,1,0,2,0.017499999999999627
panama,guatemala,3,2,3.8168,2.2099,39,24,4,1,1,0,1,1.6069
uae,south_korea,3,4,3.2647000000000004,3.1823,28,38,6,1,0,1,-1,0.08240000000000025
peru,morocco,3,4,2.3283,2.8256,28,31,12,1,0,1,-1,-0.4973000000000001
switzerland,thailand,1,4,1.3855,4.3579,18,38,10,1,0,1,-3,-2.9724
mongolia,saudi_arabia,2,1,1.8262,3.2551,21,28,6,1,1,0,1,-1.4289
ethiopia,usa,5,3,2.1894,2.3498,20,22,8,1,1,0,2,-0.1604000000000001
pakistan,rwanda,2,3,3.2155,2.4511000000000003,24,18,18,1,0,1,-1,0.7643999999999997
china,iceland,0,1,3.2892,1.4912999999999998,27,17,6,1,0,1,-1,1.7979000000000003
uk,canada,3,4,2.6863,3.8437,23,32,12,1,0,1,-1,-1.1574
indonesia,serbia,3,2,2.6808,3.6146,24,31,12,1,1,0,1,-0.9337999999999997
south_korea,canada,6,3,2.6339,2.8686000000000003,26,26,14,1,1,0,3,-0.23470000000000013
germany,mexico,2,4,2.5494,2.6141,20,21,10,1,0,1,-2,-0.0647000000000002
kazakhstan,oman,3,4,3.5334,3.2925,30,27,8,1,0,1,-1,0.2408999999999999
panama,uae,4,3,3.0124,1.7227999999999999,26,17,6,1,1,0,1,1.2896
france,netherlands,1,2,2.907,2.8339,24,27,6,1,0,1,-1,0.07310000000000016
singapore,guatemala,2,3,2.5205,2.9383,26,25,18,1,0,1,-1,-0.4177999999999997
uk,new_zealand,2,4,3.3335,3.5099,22,28,10,1,0,1,-2,-0.1764000000000001
brazil,india,7,2,4.4638,2.1889,33,29,12,1,1,0,5,2.2749
vietnam,philippines,3,2,3.5345,1.8243,27,16,14,1,1,0,1,1.7102
kazakhstan,new_zealand,6,9,2.8767,3.0986000000000002,26,30,8,1,0,1,-3,-0.2219000000000002
vietnam,india,2,3,3.9976000000000003,2.7079,34,24,10,1,0,1,-1,1.2897000000000003
brazil,morocco,5,2,2.6833,1.8627,24,23,6,1,1,0,3,0.8206
china,usa,5,1,3.9074,2.7102,31,24,12,1,1,0,4,1.1972
iceland,guatemala,7,4,3.1444,2.9771,36,28,16,1,1,0,3,0.1673
serbia,new_zealand,1,4,2.1085,3.1565,19,31,16,1,0,1,-3,-1.048
south_korea,pakistan,5,4,3.7972,3.5792,29,29,26,1,1,0,1,0.21799999999999997
saudi_arabia,mongolia,2,0,3.6502,1.5601,29,20,2,1,1,0,2,2.0900999999999996
mexico,germany,2,3,2.5044,3.4337999999999997,19,31,14,1,0,1,-1,-0.9293999999999998
rwanda,netherlands,5,1,2.9448,2.3952999999999998,28,19,16,1,1,0,4,0.5495000000000001
uk,singapore,5,6,3.9566,5.7766,33,42,18,1,0,1,-1,-1.8200000000000003
philippines,south_korea,2,1,2.1502,3.8327999999999998,19,34,20,1,1,0,1,-1.6825999999999999
indonesia,netherlands,3,2,2.0773,2.092,21,20,6,1,1,0,1,-0.014699999999999935
panama,thailand,2,1,3.2182,2.8923,27,21,14,1,1,0,1,0.32589999999999986
indonesia,switzerland,2,4,3.1342999999999996,2.2889999999999997,29,25,10,1,0,1,-2,0.8452999999999999
canada,france,2,1,2.9177999999999997,2.0549999999999997,26,19,6,1,1,0,1,0.8628
philippines,oman,2,4,3.113,1.8054000000000001,28,19,6,1,0,1,-2,1.3075999999999999
peru,kazakhstan,1,2,2.0454,2.8929,18,24,16,1,0,1,-1,-0.8475000000000001
uae,ethiopia,5,4,4.3243,1.8041,36,20,6,1,1,0,1,2.5202
canada,thailand,3,1,2.6348000000000003,3.2997,23,28,17,1,1,0,2,-0.6648999999999998
germany,pakistan,5,6,3.8824000000000005,3.7237999999999998,26,33,6,1,0,1,-1,0.15860000000000074
china,saudi_arabia,0,1,3.5344,3.6847,32,38,16,1,0,1,-1,-0.15029999999999966
morocco,switzerland,7,1,3.3883,2.0261,33,29,14,1,1,0,6,1.3622
vietnam,germany,0,5,2.0944000000000003,3.7018999999999997,19,28,14,1,0,1,-5,-1.6074999999999995
south_korea,new_zealand,1,2,3.2166,2.6258,30,20,24,1,0,1,-1,0.5908000000000002
peru,rwanda,4,0,3.3933999999999997,1.6512,27,17,10,1,1,0,4,1.7421999999999997
singapore,philippines,5,6,4.0756000000000006,3.1505,38,26,22,1,0,1,-1,0.9251000000000005
france,kazakhstan,1,4,2.6664000000000003,2.0064,21,18,12,1,0,1,-3,0.6600000000000001
ethiopia,india,3,2,2.567,3.4947,22,37,14,1,1,0,1,-0.9276999999999997
guatemala,iceland,0,1,5.6666,3.5724,52,40,28,1,0,1,-1,2.0942
oman,serbia,2,4,2.2016,2.7748,18,25,16,1,0,1,-2,-0.5731999999999999
uk,usa,2,3,4.4415000000000004,3.7206,35,28,16,1,0,1,-1,0.7209000000000003
brazil,indonesia,4,5,4.2709,2.603,32,28,18,1,0,1,-1,1.6679
mongolia,netherlands,4,0,1.4301,1.9236,18,19,4,1,1,0,4,-0.49350000000000005
thailand,usa,5,4,5.5778,2.3909,36,26,10,1,1,0,1,3.1869
vietnam,uae,3,2,2.6991,2.0167,24,17,14,1,1,0,1,0.6823999999999999
mexico,panama,4,1,3.268,2.6377,24,31,8,1,1,0,3,0.6302999999999996
morocco,usa,6,2,3.7708,2.2971,34,24,14,1,1,0,4,1.4737
rwanda,china,2,7,2.3672,2.9383,25,24,16,1,0,1,-5,-0.5710999999999999
thailand,ethiopia,3,1,4.2104,2.3224,32,24,12,1,1,0,2,1.888
peru,oman,6,5,3.129,3.4051,28,28,18,1,1,0,1,-0.2761
pakistan,mongolia,3,0,4.644,1.8997,36,22,12,1,1,0,3,2.7443
new_zealand,indonesia,4,1,2.9973,1.7406,25,17,10,1,1,0,3,1.2567000000000002
switzerland,singapore,0,1,2.0915,2.7674,23,28,16,1,0,1,-1,-0.6759
guatemala,serbia,2,3,3.0536,3.8689999999999998,24,41,20,1,0,1,-1,-0.8153999999999999
uae,brazil,3,2,3.6557999999999997,2.5517,34,25,6,1,1,0,1,1.1040999999999999
mexico,canada,4,1,2.6092,2.004,24,22,14,1,1,0,3,0.6052
india,kazakhstan,2,3,2.4871,2.4838,23,26,11,1,0,1,-1,0.0032999999999998586
vietnam,iceland,5,6,3.2425,3.5093,30,28,12,1,0,1,-1,-0.2667999999999999
panama,germany,7,1,3.4805,2.0993,30,19,10,1,1,0,6,1.3812000000000002
uk,france,4,2,3.3625,3.0771,26,28,4,1,1,0,2,0.28539999999999965
netherlands,philippines,6,1,3.0529,1.1131,24,15,2,1,1,0,5,1.9398000000000002
south_korea,brazil,2,4,3.2769999999999997,4.8575,33,32,20,1,0,1,-2,-1.5805000000000002
serbia,netherlands,5,2,4.0352,2.3436,33,28,2,1,1,0,3,1.6915999999999998
indonesia,thailand,1,2,2.0231,5.8315,19,41,11,1,0,1,-1,-3.8084000000000002
canada,ethiopia,4,3,3.8553,2.7435,39,29,14,1,1,0,1,1.1118000000000001
singapore,france,4,3,3.045,4.8053,29,39,20,1,1,0,1,-1.7603
saudi_arabia,mexico,4,3,2.3461,2.8565,19,26,11,1,1,0,1,-0.5104000000000002
oman,germany,0,2,3.4396,2.9611,26,22,18,1,0,1,-2,0.4784999999999999
mongolia,uae,1,2,2.3952,2.5221,31,27,8,1,0,1,-1,-0.1269
brazil,peru,2,3,3.2284,2.9332,28,35,14,1,0,1,-1,0.29520000000000035
vietnam,rwanda,5,4,4.0587,4.1704,27,29,15,1,1,0,1,-0.11169999999999991
panama,philippines,1,2,2.4354999999999998,3.5211,25,33,20,1,0,1,-1,-1.0856000000000003
singapore,uk,1,3,2.5768,4.1309000000000005,22,32,19,1,0,1,-2,-1.5541000000000005
pakistan,china,1,4,2.4661,3.8770000000000002,23,28,16,1,0,1,-3,-1.4109000000000003
switzerland,usa,5,1,3.6532999999999998,2.6449000000000003,27,24,16,1,1,0,4,1.0083999999999995
kazakhstan,iceland,2,1,3.8845,2.868,37,26,6,1,1,0,1,1.0165000000000002
usa,thailand,3,6,3.1711,3.2011000000000003,28,26,11,1,0,1,-3,-0.03000000000000025
morocco,south_korea,8,4,2.9001,2.4183,27,28,18,1,1,0,4,0.48180000000000023
france,india,5,3,3.263,3.5993,28,33,10,1,1,0,2,-0.33630000000000004
pakistan,morocco,7,4,4.1216,2.6421,37,22,16,1,1,0,3,1.4794999999999998
thailand,vietnam,9,3,4.5753,1.8459,33,22,8,1,1,0,6,2.7294
philippines,iceland,3,2,3.141,2.9376,23,24,12,1,1,0,1,0.2033999999999998
south_korea,mongolia,4,2,3.7367,1.8866,32,17,16,1,1,0,2,1.8500999999999999
saudi_arabia,brazil,2,3,1.9728999999999999,3.234,21,28,6,1,0,1,-1,-1.2611
usa,france,3,5,3.4183,5.0353,25,37,32,1,0,1,-2,-1.6170000000000004
rwanda,ethiopia,2,5,1.9482,2.5958,20,27,12,1,0,1,-3,-0.6476000000000002
indonesia,china,4,2,1.8408,2.0412999999999997,25,17,8,1,1,0,2,-0.20049999999999968
germany,south_korea,3,7,1.8212000000000002,4.7506,17,37,24,1,0,1,-4,-2.9294000000000002
kazakhstan,canada,6,5,2.6624000000000003,4.1304,22,32,6,1,1,0,1,-1.4679999999999995
germany,oman,3,2,1.9621,4.1615,16,28,18,1,1,0,1,-2.1994000000000002
mexico,new_zealand,2,3,3.0643000000000002,2.2591,23,23,10,1,0,1,-1,0.8052000000000001
panama,guatemala,2,3,2.2765999999999997,4.1083,24,43,14,1,0,1,-1,-1.8317
singapore,netherlands,1,10,2.3545,4.7571,20,42,16,1,0,1,-9,-2.4026000000000005
serbia,uk,2,7,3.4119,3.2589,28,31,12,1,0,1,-5,0.15300000000000002
uae,india,4,2,3.0344,3.3943000000000003,26,36,14,1,1,0,2,-0.3599000000000001
switzerland,peru,3,2,4.2363,3.0236,43,31,12,1,1,0,1,1.2127
